wavelength      spectral_flux_density
um              W/m^2/um
5.561319e-01    4.132260e+08
5.589126e-01    4.077142e+08
5.617072e-01    4.023442e+08
5.645157e-01    3.973053e+08
5.673383e-01    3.923836e+08
5.701750e-01    3.877232e+08
5.730258e-01    3.829898e+08
5.758910e-01    3.778538e+08
5.787704e-01    3.727348e+08
5.816643e-01    3.675051e+08
5.845726e-01    3.619215e+08
5.874955e-01    3.549842e+08
5.904329e-01    3.489803e+08
5.933851e-01    3.457140e+08
5.963520e-01    3.420682e+08
5.993338e-01    3.371486e+08
6.023305e-01    3.324268e+08
6.053421e-01    3.281667e+08
6.083688e-01    3.236614e+08
6.114107e-01    3.183118e+08
6.144677e-01    3.133511e+08
6.175401e-01    3.093541e+08
6.206278e-01    3.052416e+08
6.237309e-01    3.007058e+08
6.268495e-01    2.961431e+08
6.299838e-01    2.913866e+08
6.331337e-01    2.868202e+08
6.362994e-01    2.826352e+08
6.394809e-01    2.784787e+08
6.426783e-01    2.742969e+08
6.458917e-01    2.682616e+08
6.491211e-01    2.574927e+08
6.523667e-01    2.451799e+08
6.556286e-01    2.286954e+08
6.589067e-01    2.216932e+08
6.622012e-01    2.366599e+08
6.655123e-01    2.472788e+08
6.688398e-01    2.451837e+08
6.721840e-01    2.428024e+08
6.755449e-01    2.397273e+08
6.789227e-01    2.365754e+08
6.823173e-01    2.331986e+08
6.857289e-01    2.298888e+08
6.891575e-01    2.266683e+08
6.926033e-01    2.234368e+08
6.960663e-01    2.201283e+08
6.995466e-01    2.168544e+08
7.030444e-01    2.135983e+08
7.065596e-01    2.101930e+08
7.100924e-01    2.064288e+08
7.136429e-01    2.031528e+08
7.172111e-01    2.007916e+08
7.207971e-01    1.982925e+08
7.244011e-01    1.954935e+08
7.280231e-01    1.927141e+08
7.316632e-01    1.899354e+08
7.353215e-01    1.870944e+08
7.389982e-01    1.841004e+08
7.426931e-01    1.812114e+08
7.464066e-01    1.784748e+08
7.501386e-01    1.759156e+08
7.538893e-01    1.736426e+08
7.576588e-01    1.712628e+08
7.614471e-01    1.686714e+08
7.652543e-01    1.660608e+08
7.690806e-01    1.633882e+08
7.729260e-01    1.606693e+08
7.767906e-01    1.578429e+08
7.806746e-01    1.553347e+08
7.845779e-01    1.533176e+08
7.885008e-01    1.512427e+08
7.924433e-01    1.490577e+08
7.964056e-01    1.468874e+08
8.003876e-01    1.447213e+08
8.043895e-01    1.426033e+08
8.084115e-01    1.405416e+08
8.124535e-01    1.381070e+08
8.165158e-01    1.350968e+08
8.205984e-01    1.319150e+08
8.247014e-01    1.284539e+08
8.288249e-01    1.248773e+08
8.329690e-01    1.210998e+08
8.371338e-01    1.179646e+08
8.413195e-01    1.156723e+08
8.455261e-01    1.139130e+08
8.497537e-01    1.128780e+08
8.540025e-01    1.121961e+08
8.582725e-01    1.120029e+08
8.625639e-01    1.119502e+08
8.668767e-01    1.120916e+08
8.712111e-01    1.121472e+08
8.755671e-01    1.120861e+08
8.799450e-01    1.111173e+08
8.843447e-01    1.089719e+08
8.887664e-01    1.087976e+08
8.932103e-01    1.111858e+08
8.976763e-01    1.106401e+08
9.021647e-01    1.064161e+08
9.066755e-01    1.054302e+08
9.112089e-01    1.083975e+08
9.157649e-01    1.064559e+08
9.203438e-01    9.883433e+07
9.249455e-01    9.691482e+07
9.295702e-01    1.014885e+08
9.342181e-01    1.036613e+08
9.388891e-01    1.028158e+08
9.435836e-01    9.981642e+07
9.483015e-01    9.453688e+07
9.530430e-01    9.149830e+07
9.578082e-01    9.075738e+07
9.625973e-01    9.111381e+07
9.674103e-01    9.270328e+07
9.722473e-01    9.298196e+07
9.771085e-01    9.182235e+07
9.819941e-01    9.035839e+07
9.869041e-01    8.858434e+07
9.918386e-01    8.584646e+07
9.967978e-01    8.219312e+07
1.001782e+00    7.913495e+07
1.006791e+00    7.662698e+07
1.011825e+00    7.643860e+07
1.016884e+00    7.856433e+07
1.021968e+00    7.911299e+07
1.027078e+00    7.807489e+07
1.032213e+00    7.689597e+07
1.037374e+00    7.558822e+07
1.042561e+00    7.427433e+07
1.047774e+00    7.295686e+07
1.053013e+00    7.166933e+07
1.058278e+00    7.041052e+07
1.063569e+00    6.877747e+07
1.068887e+00    6.683195e+07
1.074232e+00    6.549720e+07
1.079603e+00    6.467887e+07
1.085001e+00    6.184876e+07
1.090426e+00    5.750205e+07
1.095878e+00    5.667198e+07
1.101357e+00    5.871739e+07
1.106864e+00    5.962245e+07
1.112399e+00    5.952470e+07
1.117961e+00    5.872636e+07
1.123550e+00    5.737553e+07
1.129168e+00    5.633488e+07
1.134814e+00    5.553530e+07
1.140488e+00    5.481941e+07
1.146190e+00    5.416930e+07
1.151921e+00    5.319848e+07
1.157681e+00    5.199635e+07
1.163469e+00    5.091493e+07
1.169287e+00    4.992572e+07
1.175133e+00    4.908156e+07
1.181009e+00    4.834400e+07
1.186914e+00    4.765450e+07
1.192848e+00    4.700145e+07
1.198813e+00    4.629010e+07
1.204807e+00    4.554223e+07
1.210831e+00    4.485259e+07
1.216885e+00    4.420524e+07
1.222969e+00    4.347563e+07
1.229084e+00    4.269634e+07
1.235230e+00    4.199353e+07
1.241406e+00    4.134368e+07
1.247613e+00    4.059487e+07
1.253851e+00    3.978932e+07
1.260120e+00    3.898514e+07
1.266421e+00    3.818797e+07
1.272753e+00    3.640009e+07
1.279117e+00    3.410306e+07
1.285512e+00    3.386041e+07
1.291940e+00    3.484824e+07
1.298399e+00    3.504350e+07
1.304891e+00    3.474887e+07
1.311416e+00    3.426522e+07
1.317973e+00    3.367684e+07
1.324563e+00    3.312671e+07
1.331186e+00    3.260163e+07
1.337842e+00    3.204072e+07
1.344531e+00    3.146482e+07
1.351253e+00    3.090212e+07
1.358010e+00    3.035103e+07
1.364800e+00    2.979337e+07
1.371624e+00    2.923722e+07
1.378482e+00    2.876631e+07
1.385374e+00    2.834228e+07
1.392301e+00    2.788270e+07
1.399263e+00    2.740918e+07
1.406259e+00    2.693939e+07
1.413290e+00    2.647549e+07
1.420357e+00    2.600374e+07
1.427459e+00    2.553264e+07
1.434596e+00    2.501034e+07
1.441769e+00    2.447029e+07
1.448978e+00    2.402634e+07
1.456223e+00    2.363003e+07
1.463504e+00    2.317089e+07
1.470821e+00    2.268909e+07
1.478175e+00    2.220016e+07
1.485566e+00    2.171415e+07
1.492994e+00    2.121217e+07
1.500459e+00    2.071026e+07
1.507961e+00    2.032477e+07
1.515501e+00    1.999116e+07
1.523079e+00    1.965912e+07
1.530694e+00    1.933098e+07
1.538347e+00    1.900950e+07
1.546039e+00    1.869384e+07
1.553769e+00    1.839648e+07
1.561538e+00    1.810905e+07
1.569346e+00    1.782955e+07
1.577193e+00    1.755571e+07
1.585079e+00    1.730492e+07
1.593004e+00    1.706487e+07
1.600969e+00    1.669888e+07
1.608974e+00    1.629350e+07
1.617019e+00    1.625123e+07
1.625104e+00    1.634000e+07
1.633229e+00    1.585226e+07
1.641395e+00    1.518410e+07
1.649602e+00    1.519923e+07
1.657850e+00    1.544933e+07
1.666140e+00    1.497303e+07
1.674470e+00    1.427905e+07
1.682843e+00    1.413903e+07
1.691257e+00    1.417520e+07
1.699713e+00    1.411948e+07
1.708212e+00    1.403468e+07
1.716753e+00    1.360286e+07
1.725337e+00    1.308074e+07
1.733963e+00    1.272234e+07
1.742633e+00    1.241659e+07
1.751346e+00    1.242521e+07
1.760103e+00    1.252620e+07
1.768904e+00    1.238407e+07
1.777748e+00    1.217507e+07
1.786637e+00    1.193481e+07
1.795570e+00    1.168978e+07
1.804548e+00    1.114031e+07
1.813571e+00    1.053804e+07
1.822638e+00    1.052396e+07
1.831752e+00    1.066107e+07
1.840910e+00    1.058598e+07
1.850115e+00    1.045782e+07
1.859366e+00    1.001876e+07
1.868662e+00    9.525409e+06
1.878006e+00    9.447615e+06
1.887396e+00    9.466056e+06
1.896833e+00    9.441874e+06
1.906317e+00    9.407891e+06
1.915848e+00    9.217499e+06
1.925428e+00    8.996820e+06
1.935055e+00    8.589393e+06
1.944730e+00    8.161073e+06
1.954454e+00    8.198816e+06
1.964226e+00    8.333855e+06
1.974047e+00    8.259679e+06
1.983917e+00    8.144272e+06
1.993837e+00    8.003447e+06
2.003806e+00    7.859866e+06
2.013825e+00    7.715098e+06
2.023894e+00    7.572300e+06
2.034014e+00    7.433216e+06
2.044184e+00    7.296879e+06
2.054405e+00    7.159794e+06
2.064677e+00    7.024728e+06
2.075000e+00    6.895152e+06
2.085375e+00    6.768452e+06
2.095802e+00    6.639939e+06
2.106281e+00    6.513211e+06
2.116812e+00    6.385661e+06
2.127397e+00    6.260118e+06
2.138034e+00    6.098025e+06
2.148724e+00    5.934520e+06
2.159467e+00    5.722712e+06
2.170265e+00    5.511306e+06
2.181116e+00    5.529672e+06
2.192022e+00    5.578916e+06
2.202982e+00    5.498411e+06
2.213997e+00    5.402754e+06
2.225067e+00    5.308089e+06
2.236192e+00    5.215002e+06
2.247373e+00    5.116642e+06
2.258610e+00    5.019350e+06
2.269903e+00    4.925600e+06
2.281252e+00    4.833784e+06
2.292659e+00    4.742898e+06
2.304122e+00    4.653641e+06
2.315642e+00    4.559580e+06
2.327221e+00    4.466797e+06
2.338857e+00    4.377721e+06
2.350551e+00    4.290585e+06
2.362304e+00    4.201564e+06
2.374115e+00    4.114085e+06
2.385986e+00    4.034036e+06
2.397916e+00    3.955987e+06
2.409905e+00    3.882744e+06
2.421955e+00    3.811098e+06
2.434065e+00    3.741095e+06
2.446235e+00    3.672399e+06
2.458466e+00    3.604803e+06
2.470758e+00    3.538441e+06
2.483112e+00    3.471386e+06
2.495528e+00    3.405493e+06
2.508005e+00    3.342605e+06
2.520546e+00    3.280968e+06
2.533148e+00    3.231051e+06
2.545814e+00    3.182382e+06
2.558543e+00    3.112916e+06
2.571336e+00    3.044099e+06
2.584192e+00    2.992758e+06
2.597113e+00    2.942848e+06
2.610099e+00    2.811998e+06
2.623149e+00    2.684603e+06
2.636265e+00    2.710815e+06
2.649447e+00    2.741189e+06
2.662694e+00    2.664463e+06
2.676007e+00    2.587813e+06
2.689387e+00    2.583161e+06
2.702834e+00    2.579584e+06
2.716348e+00    2.531805e+06
2.729930e+00    2.484480e+06
2.743580e+00    2.392734e+06
2.757298e+00    2.304162e+06
2.771084e+00    2.302813e+06
2.784940e+00    2.301293e+06
2.798864e+00    2.265662e+06
2.812859e+00    2.230464e+06
2.826923e+00    2.184150e+06
2.841058e+00    2.138241e+06
2.855263e+00    2.057588e+06
2.869539e+00    1.981395e+06
2.883887e+00    1.976653e+06
2.898306e+00    1.971343e+06
2.912798e+00    1.943460e+06
2.927362e+00    1.915727e+06
2.941999e+00    1.880505e+06
2.956709e+00    1.845883e+06
2.971492e+00    1.810583e+06
2.986350e+00    1.775544e+06
3.001281e+00    1.731381e+06
3.016288e+00    1.687759e+06
3.031369e+00    1.633640e+06
3.046526e+00    1.583750e+06
3.061759e+00    1.582430e+06
3.077067e+00    1.579620e+06
3.092453e+00    1.551246e+06
3.107915e+00    1.523299e+06
3.123455e+00    1.494568e+06
3.139072e+00    1.466427e+06
3.154767e+00    1.439482e+06
3.170541e+00    1.412989e+06
3.186394e+00    1.386407e+06
3.202326e+00    1.360311e+06
3.218337e+00    1.334536e+06
3.234429e+00    1.308938e+06
3.250601e+00    1.280298e+06
3.266854e+00    1.250721e+06
3.283189e+00    1.205366e+06
3.299604e+00    1.165348e+06
3.316102e+00    1.163701e+06
3.332683e+00    1.160304e+06
3.349346e+00    1.140280e+06
3.366093e+00    1.120302e+06
3.382924e+00    1.098007e+06
3.399838e+00    1.076272e+06
3.416837e+00    1.055954e+06
3.433922e+00    1.035943e+06
3.451091e+00    1.015706e+06
3.468347e+00    9.958876e+05
3.485688e+00    9.766404e+05
3.503117e+00    9.577995e+05
3.520632e+00    9.395720e+05
3.538236e+00    9.217003e+05
3.555927e+00    9.042306e+05
3.573706e+00    8.870929e+05
3.591575e+00    8.702859e+05
3.609533e+00    8.537848e+05
3.627580e+00    8.375177e+05
3.645718e+00    8.215144e+05
3.663947e+00    8.055363e+05
3.682267e+00    7.893150e+05
3.700678e+00    7.701995e+05
3.719181e+00    7.513079e+05
3.737777e+00    7.315481e+05
3.756466e+00    7.147225e+05
3.775249e+00    7.114018e+05
